,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
108,Intercontinental Exchange,Melbourne VIC 3006,Australie,Senior Reference Data Associate - Vietnamese Language Requirement,,"Posted
Posted 30+ days ago","Participate in ad hoc projects to optimize processes and/or improve the quality of the data set.
Our reference data is also used by internal stakeholders such…"
109,OneSchool Global,Hybrid remote in New South Wales,Australie,Data & Reporting Analyst,,"Posted
Posted 30+ days ago","Experience with data warehousing and data modelling.
Develop and maintain data pipelines that enable the data collection process."
110,Accenture,Canberra ACT,Australie,AWS Data Engineer,,"Posted
Posted 30+ days ago","As a Cloud Data Engineer, you will design and maintain data analytic road maps and data structures that support business and technology objectives."
111,Popul8IT,Sydney NSW,Australie,AI Specialist,,"Posted
Posted 30+ days ago","For Senior roles only - Bachelor’s or master's degree in computer science or a related field.
Contact potential or existing customers to inform them about a…"
112,Pilbara Minerals,Perth WA,Australie,Health and Safety: Data Analytics & Technical Writer,,"Posted
Posted 8 days ago",Lead end-to-end projects to establish health and safety data analytics solutions for key performance metric visibility.
113,Mutinex,Hybrid remote in Sydney NSW,Australie,Mid Data Engineer,,"Posted
Posted 8 days ago","These could involve writing simple ETL scripts, data transformations, or data quality checks.
Environment Familiarization: Get acquainted with the data…"
114,Triple i,Remote in Unanderra NSW 2526,Australie,DATA ENGINEER,,"Posted
Posted 30+ days ago","Providing effective visualisation transforming data into knowledge.
The role requires a clear understanding of the implementation of process historians…"
115,Openmesh Network,Remote,Australie,Junior Cloud Engineer for Xnode (Decentralized Data Cloud Infrastructure),,"Posted
Posted 30+ days ago","Xnode, enables developers to build their own decentralized data clouds with data connectivity, data APIs, and query & analytics engines in mere minutes, instead…"
116,Workday,North Sydney NSW,Australie,"Product Specialist, Analytics & Extend",,"Posted
Posted 29 days ago","Maintain accurate and timely customer/prospect, pipeline, and service forecast data.
We know that flexibility can take shape in many ways, so rather than a…"
117,Telstra Health,Hybrid remote in Australia,Australie,Data Analyst - Remote,,"Posted
Posted 30+ days ago","Identifying, analysing and interpreting trends or patterns in complex data sets.
Performing regular data health checks to ensure data quality and completeness…"
118,WaterNSW,Parramatta NSW,Australie,Data Engineer (Azure),,"Posted
Posted 26 days ago","Demonstrated experience with data management, data warehousing, data modelling and ELT / ETL strategies, modern data pipelines, data streaming, and using real…"
