,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
1590,Fujitsu,Braga,Portugal,Data Analyst | Digital Transformation (DX) Team,,"Posted
Anunciada há mais de 30 dias","Knowledgeable about data modeling, data access, and data storage techniques.
Data cleaning and data wrangling t ools used to reshape the data;"
1591,Prime Engineering,Porto,Portugal,Data Engineer,,"Posted
Anunciada há mais de 30 dias",Formação superior em Engenharia Informática ou similar;
1592,360imprimir,Lisboa,Portugal,Data Scientist,,"Posted
Anunciada há mais de 30 dias","Aplicar algoritmos de machine learning para prever comportamentos dos clientes (análise LTV);
Conhecimentos em R ou Python;
Scripts para integrações em API;"
1593,Xpandit,Remoto híbrido in Lisboa,Portugal,Data Analytics Consultant,,"Posted
Anunciada há mais de 30 dias","Desenhar e produzir modelos de dados de data warehousing de acordo com os padrões standard.
A equipa de Business Intelligence & Analytics tem como objetivo…"
1594,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Data Analyst,,"Posted
Anunciada há mais de 30 dias","Support and monitor the run of these actvities of data analysis, reporting and data mining.
Create business-facing dashboards and high impact data…"
1595,Closer,Remoto híbrido in Lisboa,Portugal,Data Engineer,,"Posted
Anunciada há mais de 30 dias","Good knowledge of algorithms & data structures;
Academic background in Computer Science, Engineering, Mathematics Statistics or other relevant fields;"
1596,Michael Page,Remoto in Porto,Portugal,Project Manager - Data,,"Posted
Anunciada há mais de 30 dias","Develop data models and reports to communicate data insights.
Collaborate with other teams to implement data analysis solutions."
1597,OutSystems,Remoto,Portugal,Technical Product Owner,,"Posted
Anunciada há 1 dias","Tech Tool Proficiency: Familiarity with utilizing software development tools such as JIRA, Confluence, or equivalent platforms."
1598,Closer,Remoto,Portugal,Support Engineer,,"Posted
Anunciada há mais de 30 dias","Bachelor's degree in computer science or related technical discipline, providing a solid foundation for understanding complex technical concepts;"
1599,Grupo Casais,Remoto híbrido in Braga,Portugal,Programador Informático,,"Posted
Anunciada há mais de 30 dias",Atividades anuais que promovem o engagement entre colegas / empresas / mercados;
1600,Growin - Know to grow,Remoto híbrido in Porto,Portugal,Data Analyst,,"Posted
Anunciada há 25 dias","Experience with Python and be comfortable in analytics projects.
Experience in Agile work environments with CI/CD tools like docker and docker-compose."
1601,"Hottinger, Bruel & Kjaer",Maia,Portugal,Compliance & Data Protection Officer,,"Posted
Anunciada há mais de 30 dias","Inform and advise the data controller or data processor on all matters related to data protection.
Co-ordinating and handling HBK’s response to suspected or…"
1602,Hiscox,Remoto híbrido in Lisboa,Portugal,Data Engineer – Europe,,"Posted
Anunciada há mais de 30 dias","Proven experience of deriving value from data by using data analytics;
The main focus of this role is to provide specific data & analytics technical skills to…"
1603,Prime Engineering,Lisboa,Portugal,Data Scientist,,"Posted
Anunciada há mais de 30 dias","Experiência em Python, Tense Flow e/ou SQL (preferencial);"
1604,SDG Group,Remoto in Lisboa,Portugal,Data Engineer (100% remote working),,"Posted
Anunciada há mais de 30 dias",At least 4 years of experience in a data engineer role implementing data ingestion and transformation solutions with on-premise or cloud tools.
1605,SDG Group,Lisboa,Portugal,Analytics Consultant,,"Posted
Anunciada há 2 dias","Bachelor/Master in a field that emphasizes data analysis (Computer Science, Information Management, Mathematics, Engineering or Statistics);"
1606,Findmore,Remoto in Lisboa,Portugal,Data Scientist (Remote),,"Posted
Anunciada há mais de 30 dias","Master’s degree (preferable) and a minimum of 5 years of experience in data science with R and Python;
Ability to design data models and to use R and Python…"
1607,BitSight,Remoto,Portugal,Senior Software Engineer,,"Posted
Anunciada há mais de 30 dias","Collaborating with data science and research teams, you will build trust with BitSight customers in the quality and integrity of our data."
1608,DSV,Remoto híbrido in Lisboa,Portugal,Senior Data Scientist,,"Posted
Anunciada há mais de 30 dias","At least 5 years of experience in data science and machine learning, with a strong focus on MLOps.
Strong understanding of data engineering and data warehousing…"
1609,Capgemini Engineering,Remoto in Lisboa,Portugal,Data Engineer | AWS,,"Posted
Anunciada há 15 dias","Creation of routines for data extraction with subsequent treatment and transformation of the data so that in the end, this data is stored in the best possible…"
1610,Accenture,Remoto híbrido in Lisboa,Portugal,Technology Strategy & Advisory Analyst - Graduate Programme,,"Posted
Anunciada há mais de 30 dias","Master’s degree in Computer Science, Computer Engineering, Information Systems, Electronics Engineering, Telecommunications or other similar areas."
1611,Noesis,Remoto híbrido in Lisboa,Portugal,Generative AI/Data Scientist - Lisboa/Híbrido,,"Posted
Anunciada há 13 dias","Experiência em frameworks de machine learning (Ex. PyTorch e Tensorflow);
Experiência no desenvolvimento de projetos de machine learning (Python, R), no…"
1612,Mastercard,Lisboa,Portugal,"Manager, Innovation, Industry Standards",,"Posted
Anunciada há mais de 30 dias","Report any suspected information security violation or breach, and.
All activities involving access to Mastercard assets, information, and networks comes with…"
1613,SBM Offshore,Porto,Portugal,IT Data Governance Officer,,"Posted
Anunciada há mais de 30 dias","At least 5 years of experience in data governance, data management or a related field.
Relevant professional certifications in data governance or management is…"
1614,Santander,Remoto híbrido in Lisboa,Portugal,Data Analyst para a área de Financial Crime Compliance - Supervisão Local,,"Posted
Anunciada há 13 dias","Data Analyst para a área de Financial Crime Compliance - Supervisão Local.
A Área de Financial Crime Compliance (FCC) está a contratar Data Analyst para a sua…"
1615,CGD,Lisboa,Portugal,Engineering Trainee Program,,"Employer
Ativa Agora mesmo","Knowledge of computer science fundamentals in object-oriented design, data structures and algorithms are a necessity;
Business Applications (BI/CRM/ERP)."
1616,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Senior People Analytics Data Expert,,"Posted
Anunciada há mais de 30 dias","Proficiency in data preparation tools, such as DataIku, Tableau Prep or similar.
Stay Current: Keep up to date with industry best practices and emerging data…"
1617,SAP,Remoto híbrido in Porto Salvo,Portugal,Data Management Associate Consultant,,"Posted
Anunciada há 29 dias","Good programming skills (ABAP or SQL or Python);
Support in development and realization of strategic initiatives like migration, data quality and data…"
1618,Movilges Intersoft,Remoto híbrido in Lisboa,Portugal,Generative AI Consultant,,"Posted
Anunciada há 5 dias","Experiência em frameworks de machine learning;
Experiência no desenvolvimento de projetos de machine learning (Python, R), no deployment de modelos para…"
1619,KWAN,Porto,Portugal,Data Scientist (Python),,"Posted
Anunciada há 13 dias","Knowledge of the fundamental principles, algorithms, and methods of machine learning;
Knowledge of data structures, semantic extraction, and text representation…"
1620,Closer,Remoto híbrido in Lisboa,Portugal,Senior Data Scientist,,"Posted
Anunciada há mais de 30 dias","3+ years of experience performing data science projects;
Experience performing the full lifecycle of machine learning model development activities (including…"
1621,Speedcast,Remoto,Portugal,Network Engineer SD-WAN,,"Posted
Anunciada há mais de 30 dias",Speedcast does not accept or retain unsolicited résumés or phone calls and/or respond to them or to any third party representing job seekers.
1622,SWORD Health,Remoto híbrido in Porto,Portugal,Head of Engineering,,"Posted
Anunciada há mais de 30 dias","Stay up-to-date with the latest software development trends and technologies.
Bachelor's degree in Computer Science, Information Systems, or related field."
1623,KEO International Consultants,Lisboa,Portugal,Environmental Engineers,,"Posted
Anunciada há mais de 30 dias","Reporting directly to a Project Manager in our award winning Sustainability and Environment Division, this role will supoprt the waste and environment division…"
1624,TELUS,Remoto,Portugal,Personalized Internet Ads Assessor - Dutch speakers in Portugal,,"Posted
Anunciada há mais de 30 dias","You must be living in Portugal for the last 3 consecutive years.
You must have familiarity with current and historical business, media, sport, news, social…"
1625,NOS Comunicações,Lisboa,Portugal,Oportunidades de carreira: Data Analyst | Lisboa/ Porto (3363),,"Posted
Anunciada há 26 dias","Formação em Business intelligence, data analytics ou similares.
Acreditamos no poder da tecnologia para combater os desafios ambientais e sociais que…"
1626,Blue Novius,Remoto,Portugal,Global Lead Medical Project Manager,,"Posted
Anunciada há mais de 30 dias","At least two years of project management experience (agency, digital marketing or life sciences background desirable).
Must be digitally savvy and adaptable."
1627,Veeva Systems,Remoto in Lisboa,Portugal,Backend - API Engineer - OpenData (Remote),,"Posted
Anunciada há mais de 30 dias","Implement data-sharing mechanisms to enable seamless data exchange with customers.
Good understanding of data modeling and storage using SQL and NoSQL databases…"
1628,Tech Alchemy,Remoto híbrido in Lisboa,Portugal,Web3 Gambling UX Researcher,,"Posted
Anunciada há 1 dias","Effectively use quantitative, qualitative and analytics data to drive decisions and measure success.
Bachelor’s or advanced degree in UX Design, Human-Computer…"
1629,Vodafone,Remoto híbrido in Lisboa,Portugal,2023 Vodafone Portugal Youth Internship Technology,,"Posted
Anunciada há 1 dias","Undergraduate or Master’s Students (1st year) with a degree in science, technology, engineering or mathematics related fields;"
1630,Celfocus,Remoto híbrido in Lisboa,Portugal,Analytics Ops,,"Posted
Anunciada há 1 dias","Understanding of data quality management and data governance principles;
They focus on optimizing data workflows, ensuring data quality and governance, and…"
1631,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Business Analytics Officer,,"Posted
Anunciada há mais de 30 dias","Analyzing the top/bottom movers from one month to another; allowing to fix errors or data quality issues very quickly.
Master Degree or equivalent (> 4 years)."
