,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1,scraping_date
1619,GRiT Solutions,Porto,Portugal,Data Scientist,,"Posted
Anunciada há 2 dias","Strong background in advanced mathematics, particularly in probability theory and statistics, data mining, and machine learning.
Apply: .",18-01-2024
1620,SaaS Company,Remoto,Portugal,QA Engineer,,"Employer
Ativa Agora mesmo","Subsidized gym membership or wellness programs to support your well-being.
At least 5 years of experience in quality assurance or related roles.",18-01-2024
1621,Fujitsu,Braga,Portugal,Data Analyst | Digital Transformation (DX) Team,,"Posted
Anunciada há mais de 30 dias","Knowledgeable about data modeling, data access, and data storage techniques.
You will work collaboratively with an analytics team to look at data, find…",18-01-2024
1622,"Hottinger, Bruel & Kjaer",Maia,Portugal,Compliance & Data Protection Officer,,"Posted
Anunciada há mais de 30 dias","Inform and advise the data controller or data processor on all matters related to data protection.
Co-ordinating and handling HBK’s response to suspected or…",18-01-2024
1623,EssilorLuxottica,Lisboa,Portugal,Data Scientist,,"Posted
Anunciada há mais de 30 dias","Propose mid/long term vision of data management (data mining, statistics, modelling, machine learning, and artificial intelligence);",18-01-2024
1624,Noesis,Remoto híbrido in Lisboa,Portugal,Generative AI/Data Scientist - Lisboa/Híbrido,,"Posted
Anunciada há 14 dias","Experiência em frameworks de machine learning (Ex. PyTorch e Tensorflow);
Experiência no desenvolvimento de projetos de machine learning (Python, R), no…",18-01-2024
1625,Flix SE,Lisboa,Portugal,Data Analyst - Team Pricing Intelligence,,"Posted
Anunciada há mais de 30 dias","You have a good experience in data modeling, DAX and visualization using Power BI (or any other similar tool).
Your Tasks – Paint the world green.",18-01-2024
1626,Vodafone,Remoto híbrido in Lisboa,Portugal,2023 Vodafone Portugal Youth Internship Technology,,"Posted
Anunciada há 2 dias","Undergraduate or Master’s Students (1st year) with a degree in science, technology, engineering or mathematics related fields;
What’s in it for you:",18-01-2024
1627,LEADERSHIP BUSINESS CONSULTING,Remoto híbrido in Lisboa,Portugal,Manager AI Supported Services,,"Posted
Anunciada há mais de 30 dias","Master’s degree in Business, Management, or a related field; advanced degree preferred.
Deep understanding of technology trends, AI, tools, frameworks and best…",18-01-2024
1628,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Senior People Analytics Data Expert,,"Posted
Anunciada há mais de 30 dias","Proficiency in data preparation tools, such as DataIku, Tableau Prep or similar.
Stay Current: Keep up to date with industry best practices and emerging data…",18-01-2024
1629,Philip Morris International,Lisboa,Portugal,"Lead Prof Practices - Audit & Data Analytics Lisbon, Portugal Finance",,"Posted
Anunciada há mais de 30 dias","Unlocking data, conducting data discovery, data interpretation and data cleansing.
O ‘Big Four’ and/or other public accounting / audit / consulting / data…",18-01-2024
1630,Blue Novius,Remoto,Portugal,Global Lead Medical Project Manager,,"Posted
Anunciada há mais de 30 dias","At least two years of project management experience (agency, digital marketing or life sciences background desirable).
Stay up to date about industry news.",18-01-2024
1631,Celfocus,Remoto híbrido in Lisboa,Portugal,Analytics Ops,,"Posted
Anunciada há 1 dias","Understanding of data quality management and data governance principles;
They focus on optimizing data workflows, ensuring data quality and governance, and…",18-01-2024
1632,Accenture,Remoto híbrido in Lisboa,Portugal,Technology Strategy & Advisory Analyst - Graduate Programme,,"Posted
Anunciada há mais de 30 dias","You are naturally drawn and thirsty for learning and being at forefront of technology advancement.
Learning takes place both on the job and through formal…",18-01-2024
1633,Cisco Systems,Remoto híbrido in Oeiras,Portugal,Technical Consulting Engineer - Graduate - Portugal. Start Date March 2024,,"Posted
Anunciada há mais de 30 dias","You are passionate about networking, software, information technology or computer science.
You are a recent graduate or on your final year of studies towards a…",18-01-2024
1634,SAP,Remoto híbrido in Porto Salvo,Portugal,Data Management Associate Consultant,,"Posted
Anunciada há 29 dias","Good programming skills (ABAP or SQL or Python);
Support in development and realization of strategic initiatives like migration, data quality and data…",18-01-2024
1635,NOS Comunicações,Lisboa,Portugal,Oportunidades de carreira: Data Analyst | Lisboa/ Porto (3363),,"Posted
Anunciada há 26 dias","Formação em Business intelligence, data analytics ou similares.
Promovemos o self-learning e uma aprendizagem contínua através de iniciativas internas que…",18-01-2024
1636,Madiff,Remoto in Lisboa,Portugal,Node.JS - Remote,,"Posted
Anunciada há mais de 30 dias","Integration of data storage solutions;
Computer Sciences or equivalent degree;
Implementation of security and data protection;
This is a remote position;",18-01-2024
1637,Capgemini Engineering,Remoto in Lisboa,Portugal,Data Engineer - Mid senior,,"Posted
Anunciada há 21 dias","4 or more years of experience in data engineering roles with expertise in building and maintaining data pipelines, systems, and applications.",18-01-2024
1638,Thermo Fisher Scientific,Remoto,Portugal,"Clinical Data Team Lead, Client-Dedicated",,"Posted
Anunciada há 14 dias","Ability to maintain a high degree of confidentiality with clinical data and client's proprietary data.
The CDTL will act as the lead data manager for one or…",18-01-2024
1639,Precise recruitment & selection,Lisboa,Portugal,Data Scientist,,"Posted
Anunciada há mais de 30 dias","3+ Years of data science experience in machine learning and data analysis;
Automate machine learning model training and performance monitoring;",18-01-2024
1640,Grupo Casais,Remoto híbrido in Braga,Portugal,Programador Informático,,"Posted
Anunciada há mais de 30 dias","Família Funcional: Sistemas de Informação.
A Blufab,unidade de construção off-site do Grupo Casais que apresenta soluções mais eficientes e com menos consumo de…",18-01-2024
1641,Infineon Technologies,Porto,Portugal,Cyber Security Trainee (f/m/div),,"Posted
Agora mesmo","Build interfaces and integrate various systems to help automate the data handling for Infineon’s Cyber Security GR A Team;
In your new role, you will:",18-01-2024
1642,OutSystems,Remoto,Portugal,Technical Product Owner,,"Posted
Anunciada há 2 dias","Tech Tool Proficiency: Familiarity with utilizing software development tools such as JIRA, Confluence, or equivalent platforms.
What will be required from you:",18-01-2024
1643,Microsoft,Lisboa,Portugal,Digital Native Lead - Data,,"Posted
Agora mesmo","Any experience providing development consulting or support or application development.
Proven experience supporting, deploying or managing native cloud…",18-01-2024
1644,SWORD Health,Remoto híbrido in Porto,Portugal,Head of Engineering,,"Posted
Anunciada há mais de 30 dias","Remote or Hybrid work policy (Portugal only);
Stay up-to-date with the latest software development trends and technologies.
Core job responsibilities and tasks:",18-01-2024
1645,International Business Consulting,Remoto híbrido in Porto,Portugal,Data Engineer (M/F),,"Posted
Anunciada há mais de 30 dias","3+ years commercial experience within a software engineering, data engineering or equivalent role.
Strong working knowledge of one or more programming languages…",18-01-2024
1646,Ritain.io,Remoto híbrido in Fundão,Portugal,R.io Academy 23.2,,"Posted
Anunciada há mais de 30 dias","Written and spoken English (Spanish or any other language is a plus!).
Right now, we are looking for recent graduates in Computer Science, Information…",18-01-2024
1647,Airbus,Remoto híbrido in Lisboa,Portugal,Digital Security Teams Support,,"Posted
Anunciada há mais de 30 dias","Data analytics (KPI design & management).
Information Security and/or Information Technologies basics.
French, German and/or Spanish is a plus.",18-01-2024
1648,SGS,Lisboa,Portugal,Engineering Director,,"Posted
Agora mesmo","Truum - a new SGS digital business - is transforming compliance and data accuracy for online retailers.
Proven experience as an Engineering Manager, Engineering…",18-01-2024
1649,Airbus,Remoto híbrido in Lisboa,Portugal,IT Portfolio Manager,,"Posted
Anunciada há mais de 30 dias","A completed master's degree, ideally in computer science, business/geoinformatics, information technology or a related discipline.",18-01-2024
1650,Grupo Salvador Caetano,Remoto híbrido in Vila Nova de Gaia,Portugal,Inovação em Comunicação Digital (m/f/d),,"Posted
Anunciada há mais de 30 dias","Trabalhar na Hyundai significa um novo desafio todos os dias.
Integração numa equipa com espírito jovem e colaborativo.",18-01-2024
1651,Hopper,Remoto,Portugal,Senior Workforce Analyst,,"Posted
Anunciada há 30 dias","Experience with relational databases and SQLProficiency in Tableau (or similar tools like Qlikview or Looker).
Experience with Amazon Connect and NICE IEX.",18-01-2024
1652,Findmore,Lisboa,Portugal,AI Engineer,,"Posted
Anunciada há mais de 30 dias","Bachelor’s or master’s degree in computer science, data science, artificial intelligence, or a related field;
Analyze the outcomes of PoCs and identify the most…",18-01-2024
1653,KANTAR,Lisboa,Portugal,Senior Data Scientist,,"Posted
Anunciada há 7 dias","Develop and supervise sophisticated deep/machine learning models and statistical algorithms, deploying novel solutions and efficiently retrieving data for…",18-01-2024
1654,Decathlon,Amadora,Portugal,Gestor de Categoria Online,,"Posted
Anunciada há mais de 30 dias","Otimização contínua da jornada de cliente em todos os dispositivos (desktop/ mobile/ app).
Implementação de ações de web-merchandising.",18-01-2024
1655,Hovione,Lisboa,Portugal,Analytical Scientist,,"Posted
Anunciada há mais de 30 dias","Discuss and review analytical data generated by the team.
Gather relevant data to inform the decision makers regarding complex issues.",18-01-2024
1656,Fundação Champalimaud,Lisboa,Portugal,Clinical Research Scientist,,"Posted
Anunciada há 28 dias","Master's degree in a relevant field, such as Biomedical Engineering or a life sciences related discipline.
This call may be canceled at any time on or before…",18-01-2024
1657,Dellent,Remoto híbrido in Aveiro,Portugal,Machine Learning Engineer,,"Posted
Anunciada há mais de 30 dias","Master's degree or higher degree in Information Technology or Computer Engineering or related field;
Between 0 to 4 years of professional experience in software…",18-01-2024
1658,KEO International Consultants,Lisboa,Portugal,Environmental Engineers,,"Posted
Anunciada há mais de 30 dias","Reporting directly to a Project Manager in our award winning Sustainability and Environment Division, this role will supoprt the waste and environment division…",18-01-2024
1659,Tech Alchemy,Remoto híbrido in Lisboa,Portugal,Web3 Gambling UX Researcher,,"Posted
Anunciada há 2 dias","Effectively use quantitative, qualitative and analytics data to drive decisions and measure success.
Bachelor’s or advanced degree in UX Design, Human-Computer…",18-01-2024
1660,Critical Techworks,Lisboa,Portugal,Data Mastermind Wannabe @Lisbon,,"Posted
Anunciada há 2 dias","Academic background in IT and/or experience in other areas of Software Engineering (mandatory);
From car-sharing services to vehicle connectivity.",18-01-2024
1661,"Ferring Pharmaceuticals, Inc.",Lisboa,Portugal,"Senior Manager, Commercial Data & Analytics ELAC",,"Posted
Anunciada há 6 dias","Audit available data quality, data sources, relevance for business insights and reporting.
Support the ELAC region within IT projects and committees, in data…",18-01-2024
1662,Santander,Carcavelos,Portugal,Senior Data Analyst,,"Posted
Anunciada há 28 dias","Estamos a recrutar um Senior Data Analyst (m/f) para a Carmine.pt.
Utilizar SQL para aceder e manipular dados em bases de dados;",18-01-2024
1663,Closer,Remoto híbrido in Lisboa,Portugal,Senior Data Engineer,,"Posted
Anunciada há mais de 30 dias","+4 years of experience in a Data Engineering role;
Experience with Big Data and NoSQL Technology (Hadoop, Kafka, Hive, Spark, Python);",18-01-2024
1664,Fujitsu,Braga,Portugal,Data Engineer | Digital Transformation (DX) Team,,"Posted
Anunciada há 30 dias",Successfully completed studies in (business) computer science or a completed apprenticeship with a focus on computer science.,18-01-2024
1665,UNIPARTNER IT SERVICES,Lisboa,Portugal,Data & AI Consultant,,"Posted
Anunciada há mais de 30 dias","Visão geral do papel Ser Consultor de Dados e IA na Unipartner vem com um papel estimulante e desafiante. Como consultor, trabalhará em compromissos…",18-01-2024
1666,SAP,Remoto híbrido in Porto Salvo,Portugal,PFS Senior Consultant - ASC Service Industries,,"Posted
Hoje","At any time in a project phase, capable to take over responsibility as the project and program leader for specific work packages or the entire project.",18-01-2024
1667,Vodafone,Lisboa,Portugal,Data Visualization Expert,,"Posted
Anunciada há 10 dias","Hands-on experience in delivering data & analytics products for different stakeholders.
Knowledge of programming languages such as Python or R for data…",18-01-2024
1668,"Ferring Pharmaceuticals, Inc.",Lisboa,Portugal,Global Master Data Steward,,"Posted
Anunciada há mais de 30 dias","Solve issues with master data, like managing data corruption or mapping between different applications.
Monitor data quality and data usage, ensuring internal…",18-01-2024
1669,Capgemini Engineering,Remoto in Lisboa,Portugal,Senior Data Engineer,,"Posted
Anunciada há 16 dias","Create data products for analytics team members and data scientists to improve their productivity;
Conceptual knowledge of data and analytics, such as…",18-01-2024
1670,TeamViewer,Remoto in Porto,Portugal,Senior QA Engineer (all genders) Augmented Reality,,"Posted
Anunciada há mais de 30 dias","A university or college degree in the field of Computer Science, IT or any other related subject.
Knowledge and/or experience in mobile testing as well as test…",18-01-2024
1671,SIXT,Remoto híbrido in Lisboa,Portugal,(Senior) Data Scientist (m/f/d),,"Posted
Anunciada há mais de 30 dias","You have a strong background in data science, statistics, machine learning and/or optimization.
You will analyze data to confirm or disprove hypotheses.",18-01-2024
1672,Celfocus,Remoto híbrido in Lisboa,Portugal,Analytics Engineer,,"Posted
Anunciada há 1 dias","Transforming data to meet the requirements of the target system or data warehouse;
Loading transformed data into a data warehouse or other storage systems for…",18-01-2024
1673,Darkroom,Remoto in Lisboa,Portugal,Operations Associate,,"Posted
Anunciada há 7 dias","You have experience with data processing & tracking.
Location, location, (or no) location: Remote-first culture with a strong community base.",18-01-2024
1674,Thermo Fisher Scientific,Remoto,Portugal,Medical Document Review Specialist II (EMEA),,"Posted
Anunciada há 13 dias",Effectively reviews documents created within or outside of the company to ensure quality of a standard that meets or exceeds client's expectations.,18-01-2024
1675,Multitempo,Maia,Portugal,OP. NÃO ESPECIALIZADO,,"Posted
Anunciada há 2 dias","Referência 0000004577 Localidade MAIA Detalhes Alimentação e operação de máquinas, limpeza e manutenção. Requisitos - 9º ano; (obrigatório) - Experiência…",18-01-2024
1676,Hovione,Loures,Portugal,Associate Analyst - Microbiology,,"Posted
Anunciada há 12 dias","To bring any discrepancies, deviations or non-conformance in testing or work practice to the attention of QC management in accordance with Hovione internal…",18-01-2024
1677,lastminute.com,Remoto in Porto,Portugal,Data Engineer (full remote working),,"Posted
Anunciada há 8 dias","Bachelor or master degree in Statistics, Mathematics, Engineering or Physics or similar fields.
Experience working with cloud or on-prem Big Data/MPP analytics…",18-01-2024
1678,Accenture,Lisboa,Portugal,Senior AWS Specialist,,"Posted
Anunciada há mais de 30 dias","AWS Solution Architect Associate or Professional.
At least one experience in implementing data engineering and data processing using AWS services: Lambda,…",18-01-2024
1679,Veeva Systems,Remoto in Lisboa,Portugal,Backend - API Engineer - OpenData (Remote),,"Posted
Anunciada há mais de 30 dias","Implement data-sharing mechanisms to enable seamless data exchange with customers.
Good understanding of data modeling and storage using SQL and NoSQL databases…",18-01-2024
1680,Hiscox,Remoto híbrido in Lisboa,Portugal,Exposure Management Data Analyst,,"Posted
Anunciada há mais de 30 dias","Experience in data analysis, statistical modelling, actuarial or related fields (SQL, R or python);
On the day to day this involves a lot of data work and some…",18-01-2024
1681,Truewind,Porto,Portugal,Senior Data Engineer and Analyst,,"Posted
Anunciada há mais de 30 dias","Experience in data management, data mining, data analytics, data reporting, data product development, and quantitative analysis.",18-01-2024
1682,Continental,Remoto híbrido in Porto,Portugal,Digitalization Specialist,,"Posted
Anunciada há mais de 30 dias","Proficiency in data analytics software such as PowerBI or KNIME.
University degree in business informatics, finance, or a related field.",18-01-2024
1683,Accenture,Lisboa,Portugal,Technology Strategy & Advisory Manager,,"Posted
Anunciada há mais de 30 dias","Experience in the Professional Services and/or Consulting sector;
Post-Graduation, MBA or master’s degree are considered added value;",18-01-2024
1684,Sidul Acucares,Lisboa,Portugal,Product Data Coordinator,,"Posted
Anunciada há 2 dias",CONTINUOUS LEARNING - Actively identifying new areas for learning; regularly creating and taking advantage of learning opportunities; using newly gained…,18-01-2024
1685,SAP,Remoto híbrido in Porto Salvo,Portugal,Associate Signavio Consultant,,"Posted
Anunciada há 7 dias","Bachelor’s or master’s degree in: Information Systems, Engineering, Computer Science or similar degree.
Development of process-specific event logs, data models,…",18-01-2024
1686,Feedzai,Lisboa,Portugal,Senior Data Reliability Engineer,,"Posted
Anunciada há mais de 30 dias","Together with Product Management and Data Science, we build the next generation of tools to catch fraud in real-time with a machine learning first approach.",18-01-2024
1687,BNP Paribas,Remoto híbrido in Porto,Portugal,Global Markets Quantitative Research Specialist,,"Posted
Hoje","Masters or PhD degree in Mathematics, Statistics, Finance, Physics or Engineering.
Education Level: Master Degree or equivalent (> 4 years).",18-01-2024
1688,EY,Lisboa,Portugal,Consultant/Senior Consultant - AI Engineer | Lisboa,,"Posted
Anunciada há 7 dias",You will provide our clients with a unique perspective on how data science and analytics can transform & improve their entire organization – starting with key…,18-01-2024
1689,Centro de Estudos Sociais,Coimbra,Portugal,Research Scholarship,,"Posted
Anunciada há 28 dias","Academic background and research carried out in the area of political science, psychology, sociology or.
6 or 7 December 2023.",18-01-2024
1690,Centro de Estudos Sociais,Coimbra,Portugal,Research Assistant (MA),,"Posted
Anunciada há 12 dias","Necessary standards and/or profiles in terms of absolute merit.
Iii) use that note or its conversion as an evaluation parameter.",18-01-2024
1691,Ritain.io,Remoto,Portugal,AWS Cloud Engineer,,"Posted
Anunciada há mais de 30 dias","Experience with CloudFormation/CDK or Terraform;
AWS Solutions Architect Associate Accreditation (or equivalent);
Health insurance (for you and your children).",18-01-2024
1692,Mastercard,Lisboa,Portugal,"Manager, Product & Solutions",,"Posted
Anunciada há mais de 30 dias","Apply quality control, data validation, and cleansing processes to new and existing data sources.
International programs or experience in international…",18-01-2024
1693,Parfois,Porto,Portugal,Lead Data Analyst,,"Posted
Anunciada há mais de 30 dias","A professional with +4 years of experience in data analytics.
Experience leveraging data and analytics to solve real-world problems, requiring a strong…",18-01-2024
1694,Mastercard,Lisboa,Portugal,"Product Management Intern, Summer Internship Program 2024, Lisbon, Portugal",,"Posted
Anunciada há mais de 30 dias","Strategic thinker with ability to derive and translate data analytics to meet business goals.
Report any suspected information security violation or breach, and…",18-01-2024
1695,Synopsys,Lisboa,Portugal,Senior Data Analyst,,"Posted
Anunciada há mais de 30 dias","Experience in Sales, marketing, or customer support analytics a plus.
Experience with Salesforce data & reporting is desirable.",18-01-2024
1696,BNP Paribas,Remoto híbrido in Lisboa,Portugal,Senior Data Engineer,,"Posted
Anunciada há mais de 30 dias","Design high-performance data pipelines.
Bachelor Degree in Information Technology and/or Computer Science.
Design data models and visualizations to be launched…",18-01-2024
1697,Mastercard,Lisboa,Portugal,"Data Analyst, Digital Solutions",,"Posted
Anunciada há mais de 30 dias","3-6 years’ Experience in data management, data mining, data analytics, data reporting, data product development and quantitative analysis.",18-01-2024
1698,Hovione,Lisboa,Portugal,Trainee HR Data Analyst (M/F),,"Posted
Anunciada há mais de 30 dias","Degree in Analytics, Statistics, Human Resources, Market research data or related field;
Previous background / experience in HR analytics (design and developing…",18-01-2024
1699,Olisipo,Lisboa,Portugal,Machine Learning Engineer,,"Posted
Anunciada há mais de 30 dias","At least 3 years of experience in data science, machine learning engineering or similar;
Experience with machine learning libraries and frameworks (such as…",18-01-2024
1700,Xpandit,Remoto híbrido in Lisboa,Portugal,Azure AI Engineer,,"Posted
Anunciada há mais de 30 dias","Sólida compreensão dos conceitos, algoritmos e técnicas de AI e machine learning.
Desenvolver, testar e implementar modelos de machine learning utilizando Azure…",18-01-2024
1701,Closer,Remoto híbrido in Lisboa,Portugal,Analytics Consultant,,"Posted
Anunciada há mais de 30 dias","Experience in CRM and advance analytics;
3 years of professional experience in the area.
Comfortable with SQL/PL SQL and Data modeling, R and Python;",18-01-2024
1702,freiheit.com technologies gmbh,Lisboa,Portugal,Hackers wanted – Software Engineers,,"Posted
Anunciada há mais de 30 dias","Master or PhD in Computer Science or related fields like Mathematics or Physics.
Bachelor’s degree in Computer Science or related fields like Mathematics or…",18-01-2024
1703,Vodafone,Remoto híbrido in Lisboa,Portugal,2023 Vodafone Portugal Youth Discover Graduate Technology,,"Posted
Anunciada há 25 dias","Graduated with a Master’s degree or on track to receive one in 2023 (with a degree in science, technology, engineering or mathematics related fields);",18-01-2024
1704,Michael Page,Remoto in Porto,Portugal,Sourcing Data Analyst - Maternity Leave,,"Posted
Anunciada há 6 dias","Develop and test architectures that enable data extraction and transformation for predictive or prescriptive modeling.
Build and maintain data systems.",18-01-2024
1705,Thermo Fisher Scientific,Lisboa,Portugal,Clinical Trial Coordinator,,"Posted
Anunciada há mais de 30 dias","Supports scheduling of client and/or internal meetings.
High / Secondary school diploma or equivalent and relevant formal academic / vocational qualification.",18-01-2024
1706,Care to Beauty,Remoto híbrido in Porto,Portugal,Assistant Buyer,,"Posted
Anunciada há 6 dias","Degree in Pharmaceutical Sciences or a related field.
Join the dynamic team at Care to Beauty as an Assistant Buyer, where your main focus will be the daily…",18-01-2024
1707,Crossjoin Solutions,Almada,Portugal,Junior Software Engineer,,"Employer
Ativa Agora mesmo","Bachelor’s or Master’s in Informatic Engineering, Computers or Information Management Systems;
Understand different variations around databases like Microsoft…",18-01-2024
1708,Cegid,Remoto híbrido in Braga,Portugal,Senior Data Scientist F/M/NB,,"Posted
Anunciada há mais de 30 dias","Stay informed about the latest advancements in data science, machine learning, and generative AI.
Collaborate with finance and accounting experts, software…",18-01-2024
1709,Avanade,Lisboa,Portugal,Data Engineering Manager,,"Posted
Anunciada há 7 dias","You probably have a Master’s degree in a quantitative field such as computer science, applied mathematics, statistics or machine learning - or an equivalent…",18-01-2024
1710,Siemens Energy,Remoto híbrido in Amadora,Portugal,Measurement Electrician,,"Posted
Anunciada há mais de 30 dias","Completed education in electrical engineering, mechatronics or comparable qualification.
The gas turbine is shut down for a service overhaul, and the Siemens…",18-01-2024
1711,Multitempo,Gouveia,Portugal,Operador de Armazém,,"Posted
Hoje","Para os referidos efeitos, informamos que os seus dados pessoais serão guardados na nossa base de dados, e aí conservados, por um período de 5 anos.",18-01-2024
1712,Airbus,Remoto híbrido in Lisboa,Portugal,Customs Nomenclature Analyst,,"Posted
Anunciada há mais de 30 dias",By submitting your CV or application you are consenting to Airbus using and storing information about you for monitoring purposes relating to your application…,18-01-2024
1713,Hovione,Loures,Portugal,QC Specialist,,"Posted
Anunciada há mais de 30 dias","Interpretation of data and analysis to ensure meeting strict guidelines on documentation and recording data.
Master’s degree in Chemistry, Chemical Engineering,…",18-01-2024
1714,SmartIdiom,Porto,Portugal,Translator Portuguese (Portugal) – French (France),,"Posted
Anunciada há mais de 30 dias",SMARTIDIOM is forbidden from using this document and/or the data contained within it for any other purpose or from transferring it to third parties.,18-01-2024
1715,Grupo NORS,Porto,Portugal,Operational Efficiency | Business analyst Trainee - Porto,,"Posted
Anunciada há 7 dias","Participar nos projetos de inovação da área de Eficiência Operacional (com incorporação de AI, Machine learning).
Formação académica em alguma área de STEM.",18-01-2024
1716,Diconium Digital Solutions,Porto,Portugal,Senior Data Analyst,,"Posted
Hoje","Whether in the areas of search, social and content, personalization and analytics, data engineering or data science - our expertise helps our customers to…",18-01-2024
1717,Closer,Remoto híbrido in Lisboa,Portugal,Data Quality Analyst,,"Posted
Anunciada há mais de 30 dias","Knowledge in data governance and data quality management;
We are committed to fostering an environment where everyone is treated with dignity and respect,…",18-01-2024
1718,EY,Lisboa,Portugal,Internship - FSO Assurance | Centre of Excellence CoE | Lisboa,,"Posted
Anunciada há 13 dias","Interação com as equipas de auditoria financeira, nacionais e internacionais, para obtenção da informação ou esclarecimentos necessários à realização das…",18-01-2024
1719,Sonae,Matosinhos e Leça da Palmeira,Portugal,BUSINESS INTELLIGENCE & ADVISOR,,"Posted
Hoje","Conhecimentos em Azure (storage, machine Learning e functions).
Somos uma empresa de todos e para todos.
Com uma base sólida e inclusiva, a MC mantém o foco nas…",18-01-2024
1720,Closer,Remoto híbrido in Lisboa,Portugal,Data Architect,,"Posted
Anunciada há mais de 30 dias","Familiarity with data storage and processing technologies (e.g., data warehouses, data lakes);
Understanding of data governance, data security, and privacy…",18-01-2024
1721,Malwarebytes,Remoto,Portugal,Associate MDR Analyst,,"Posted
Anunciada há mais de 30 dias","Fluent in French or Italian Preferred.
Ability to maintain confidentiality with sensitive data.
1 or more years of related work experience.",18-01-2024
1722,Accenture,Lisboa,Portugal,Customer Experience Associate - French,,"Posted
Anunciada há mais de 30 dias","Interest in Marketing, social media and/or Data Analytics.
Prior work experience in the marketing or technology sector is a big plus.",18-01-2024
1723,Closer,Remoto,Portugal,ETL Developer,,"Posted
Anunciada há mais de 30 dias","BS or MS degree in Computer Science, Statistics or a related technical field;
3+ years of professional experience in data area;",18-01-2024
1724,Lundin Mining,Castro Verde,Portugal,Analista de Dados (M/F),,"Posted
Anunciada há 6 dias","Descrição de Cargo Trabalhar com as equipas de Negócio, IT ou de Gestão para determinar os objetivos organizacionais; Recolher dados de fontes primárias e…",18-01-2024
1725,Accenture,Remoto híbrido in Porto,Portugal,Zero Trust Delivery Manager,,"Posted
Anunciada há mais de 30 dias","Zero Trust Vendors or Cloud Service Providers Certifications at any level (Foundational, Associate or Professional).
Delivery of Cloud Security engagements.",18-01-2024
1726,Celfocus,Remoto híbrido in Lisboa,Portugal,Chapter Lead Data Scientist,,"Posted
Anunciada há 6 dias","5+ years of project experience as a Data Scientist or in a role closely related to data (e.g., Analytics);
Build and maintain (or lead the development of) data…",18-01-2024
1727,Bosch,Ovar,Portugal,Internship ETL Data Engineer,,"Posted
Anunciada há 30 dias","Degree in computer science or comparable degree.
You provide technical and pioneering advice on data integration, data logistics and data architecture.",18-01-2024
1728,KEO International Consultants,Lisboa,Portugal,Consultants - Sustainability,,"Posted
Anunciada há mais de 30 dias","Understanding and working knowledge of carbon markets in Portugal and/or within the EU.
Candidates having LEED Accredited Professional (LEED AP) or BREEAM…",18-01-2024
1729,NOS Comunicações,Lisboa,Portugal,Oportunidades de carreira: Data Scientist | Lisboa/ Porto (3340),,"Posted
Anunciada há mais de 30 dias","Acreditamos no poder da tecnologia para combater os desafios ambientais e sociais que enfrentamos.
No sentido de continuar a garantir e fazer evoluir os…",18-01-2024
1730,Prologica,São João da Madeira,Portugal,Data Engineer | Engenheiro de dados,,"Posted
Anunciada há mais de 30 dias","Experiência/ conhecimento em tecnologias de dados Microsoft: SQL Server, Analysis Services, PowerBI.
Experiência na área da Saúde (altamente valorizada).",18-01-2024
1731,Accenture,Lisboa,Portugal,Data & AAI Consultant,,"Posted
Anunciada há mais de 30 dias","Prior experience in data & analytics and data governance projects.
You will be working on projects revolving around data strategy, data governance, and data…",18-01-2024
1732,SBM Offshore,Porto,Portugal,MDM Data Architect,,"Posted
Anunciada há mais de 30 dias","Knowledge of enterprise data management concepts such as data governance, data quality, metadata management, and data lineage with security best practices.",18-01-2024
1733,Elementis PLC,Porto,Portugal,Supply Chain Data Analyst,,"Posted
Anunciada há mais de 30 dias",This also involves supporting data consolidation from different systems into a centralized data warehouse or data pool.,18-01-2024
1734,Fundação Champalimaud,Lisboa,Portugal,Research Assistant position,,"Posted
Anunciada há mais de 30 dias","Basic knowledge of machine learning and signal processing algorithms for neuroscience applications;
Bachelors or Master’s degree in Informatics, Computer…",18-01-2024
1735,Ritain.io,Remoto,Portugal,QA Automation,,"Posted
Anunciada há mais de 30 dias","Extensive knowledge of one or more Automation Testing Tools like Selenium, Appium, Cucumber, Robot Framework, UFT, SoapUI, Cypress, Ruby on Rails, or others;",18-01-2024
1736,Feedzai,Lisboa,Portugal,Senior Billing Specialist,,"Posted
Anunciada há 30 dias","Their four main objectives are to: Optimize our systems, close and report out timely and accurately, actively collaborate and partner with the business,…",18-01-2024
1737,SAP,Remoto híbrido in Porto Salvo,Portugal,Senior Technical Service Manager,,"Posted
Anunciada há 4 dias","Understand the SAP high availability or disaster recovery architecture, network, and virtual technologies (load-balancer, virtual machine).",18-01-2024
1738,Altar.io,Remoto híbrido in Lisboa,Portugal,Data Engineer,,"Posted
Anunciada há 9 dias","Experience with large data lakes;
Familiarity with Cloud Vendors' managed DB Solutions: AWS or GCP.
Proficiency in scripting languages, such as Bash, Python, or…",18-01-2024
1739,Instituto de Telecomunicações,Lisboa,Portugal,B-0009-24 – Research Grant (BI) – 17/01/2024 – NextGenAI – 2022-C05i0102-02 - Agenda 62,,"Posted
Anunciada há 1 dias","Strong knowledge in biosignal acquisition and recording, signal processing methodologies, and machine learning;
Pattern and Image Analysis – Lx.",18-01-2024
